PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	l_max_length(mm)	k_max_head_depth(mm)	k1_head_edge_length(mm)	a_max(mm)	c_min(mm)	c_max(mm)	da_max(mm)	dw_min(mm)	e(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
JIS B 1180 SCREW M10x20 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x20_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	15.5	20.0	20.42	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x25 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x25_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	20.5	25.0	25.42	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x30 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x30_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	25.5	30.0	30.42	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x35 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x35_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	30.5	35.0	35.5	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x40 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x40_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	35.5	40.0	40.5	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x45 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x45_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	40.5	45.0	45.5	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x50 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x50_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	45.5	50.0	50.5	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x55 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x55_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	50.5	55.0	55.6	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x60 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x60_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	55.5	60.0	60.6	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x65 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x65_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	60.5	65.0	65.6	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x70 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x70_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	65.5	70.0	70.6	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x80 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x80_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	75.5	80.0	80.6	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x90 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x90_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	85.5	90.0	90.7	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M10x100 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M10x100_GRADE_A_STEEL_HEX_HEAD_SCREW	M10	10.0	1.5	95.5	100.0	100.7	6.58	4.35	4.5	0.15	0.6	11.2	14.63	17.77	0.4	16.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x25 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x25_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	19.7	25.0	25.42	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x30 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x30_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	24.7	30.0	30.42	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x35 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x35_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	29.7	35.0	35.5	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x40 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x40_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	34.7	40.0	40.5	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x45 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x45_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	39.7	45.0	45.5	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x50 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x50_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	44.7	50.0	50.5	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x55 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x55_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	49.7	55.0	55.6	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x60 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x60_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	54.7	60.0	60.6	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x65 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x65_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	59.7	65.0	65.6	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x70 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x70_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	64.7	70.0	70.6	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x80 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x80_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	74.7	80.0	80.6	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x90 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x90_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	84.7	90.0	90.7	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x100 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x100_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	94.7	100.0	100.7	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x110 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x110_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	104.7	110.0	110.7	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M12x120 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M12x120_GRADE_A_STEEL_HEX_HEAD_SCREW	M12	12.0	1.75	114.7	120.0	120.7	7.68	5.12	5.3	0.15	0.6	13.7	16.63	20.03	0.6	18.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x30 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x30_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	24.0	30.0	30.42	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x35 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x35_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	29.0	35.0	35.5	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x40 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x40_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	34.0	40.0	40.5	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x45 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x45_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	39.0	45.0	45.5	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x50 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x50_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	44.0	50.0	50.5	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x55 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x55_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	49.0	55.0	55.6	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x60 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x60_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	54.0	60.0	60.6	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x65 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x65_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	59.0	65.0	65.6	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x70 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x70_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	64.0	70.0	70.6	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x80 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x80_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	74.0	80.0	80.6	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x90 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x90_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	84.0	90.0	90.7	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x100 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x100_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	94.0	100.0	100.7	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x110 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x110_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	104.0	110.0	110.7	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x120 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x120_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	114.0	120.0	120.7	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x130 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x130_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	124.0	130.0	130.8	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x140 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x140_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	134.0	140.0	140.8	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x150 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M16x150_GRADE_A_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	144.0	150.0	150.8	10.18	6.87	6.0	0.2	0.8	17.7	22.49	26.75	0.6	24.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M16x160 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M16x160_GRADE_B_STEEL_HEX_HEAD_SCREW	M16	16.0	2.0	154.0	160.0	162.0	10.29	6.8	6.0	0.2	0.8	17.7	22.0	26.17	0.6	24.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M20x40 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x40_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	32.5	40.0	40.5	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x45 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x45_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	37.5	45.0	45.5	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x50 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x50_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	42.5	50.0	50.5	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x55 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x55_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	47.5	55.0	55.6	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x60 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x60_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	52.5	60.0	60.6	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x65 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x65_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	57.5	65.0	65.6	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x70 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x70_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	62.5	70.0	70.6	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x80 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x80_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	72.5	80.0	80.6	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x90 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x90_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	82.5	90.0	90.7	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x100 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x100_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	92.5	100.0	100.7	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x110 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x110_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	102.5	110.0	110.7	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x120 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x120_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	112.5	120.0	120.7	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x130 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x130_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	122.5	130.0	130.8	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x140 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x140_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	132.5	140.0	140.8	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x150 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M20x150_GRADE_A_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	142.5	150.0	150.8	12.715	8.6	7.5	0.2	0.8	22.4	28.19	33.53	0.8	30.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M20x160 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M20x160_GRADE_B_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	152.5	160.0	162.0	12.85	8.51	7.5	0.2	0.8	22.4	27.7	32.95	0.8	30.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M20x180 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M20x180_GRADE_B_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	172.5	180.0	182.0	12.85	8.51	7.5	0.2	0.8	22.4	27.7	32.95	0.8	30.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M20x200 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M20x200_GRADE_B_STEEL_HEX_HEAD_SCREW	M20	20.0	2.5	192.5	200.0	202.3	12.85	8.51	7.5	0.2	0.8	22.4	27.7	32.95	0.8	30.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M24x40 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x40_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	31.0	40.0	40.5	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x50 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x50_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	41.0	50.0	50.5	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x55 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x55_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	46.0	55.0	55.6	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x60 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x60_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	51.0	60.0	60.6	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x65 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x65_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	56.0	65.0	65.6	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x70 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x70_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	61.0	70.0	70.6	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x80 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x80_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	71.0	80.0	80.6	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x90 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x90_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	81.0	90.0	90.7	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x100 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x100_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	91.0	100.0	100.7	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x110 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x110_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	101.0	110.0	110.7	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x120 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x120_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	111.0	120.0	120.7	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x130 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x130_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	121.0	130.0	130.8	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x140 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x140_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	131.0	140.0	140.8	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x150 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M24x150_GRADE_A_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	141.0	150.0	150.8	15.215	10.35	9.0	0.2	0.8	26.4	33.61	39.98	0.8	36.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M24x160 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M24x160_GRADE_B_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	151.0	160.0	162.0	15.35	10.26	9.0	0.2	0.8	26.4	33.25	39.55	0.8	36.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M24x180 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M24x180_GRADE_B_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	171.0	180.0	182.0	15.35	10.26	9.0	0.2	0.8	26.4	33.25	39.55	0.8	36.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M24x200 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M24x200_GRADE_B_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	191.0	200.0	202.3	15.35	10.26	9.0	0.2	0.8	26.4	33.25	39.55	0.8	36.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M24x220 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M24x220_GRADE_B_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	211.0	220.0	222.3	15.35	10.26	9.0	0.2	0.8	26.4	33.25	39.55	0.8	36.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M24x240 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M24x240_GRADE_B_STEEL_HEX_HEAD_SCREW	M24	24.0	3.0	231.0	240.0	242.3	15.35	10.26	9.0	0.2	0.8	26.4	33.25	39.55	0.8	36.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x40 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x40_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	29.5	40.0	40.5	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x45 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x45_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	34.5	45.0	45.5	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x50 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x50_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	39.5	50.0	50.5	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x55 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x55_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	44.5	55.0	55.6	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x60 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x60_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	49.5	60.0	61.5	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
