PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_length_nom(mm)	a_max(mm)	b_min(mm)	dk_head_dia(mm)	k_max(mm)	r_max(mm)	x_max(mm)	m_recess_ref(mm)	Recess_penetration_max(mm)	f_(mm)	slot_width(mm)	cross_recess_no	Type	Grade	Material	Reference	Edition
JIS B 1111 SCREW M5x6 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x6_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	1.7	6.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x8 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x8_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	3.7	8.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x10 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x10_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	5.7	10.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x12 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x12_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	7.7	12.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x14 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x14_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	9.7	14.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x16 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x16_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	11.7	16.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x20 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x20_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	15.7	20.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x25 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x25_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	20.7	25.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x30 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x30_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	25.7	30.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x35 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x35_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	30.7	35.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x40 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x40_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	35.7	40.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x45 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x45_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	40.7	45.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x50 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M5x50_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M5	5.0	0.8	38.0	50.0	1.6	38.0	9.3	2.7	1.3	2.0	5.4	3.4	1.2	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x8 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x8_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	2.7	8.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x10 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x10_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	4.7	10.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x12 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x12_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	6.7	12.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x14 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x14_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	8.7	14.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x16 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x16_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	10.7	16.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x20 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x20_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	14.7	20.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x25 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x25_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	19.7	25.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x30 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x30_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	24.7	30.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x35 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x35_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	29.7	35.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x40 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x40_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	34.7	40.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x45 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x45_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	39.7	45.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x50 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x50_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	38.0	50.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x55 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x55_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	38.0	55.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M6x60 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M6x60_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M6	6.0	1.0	38.0	60.0	2.0	38.0	11.3	3.3	1.5	2.5	7.3	4.0	1.4	0.86	3.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x10 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x10_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	2.85	10.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x12 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x12_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	4.85	12.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x14 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x14_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	6.85	14.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x16 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x16_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	8.85	16.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x20 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x20_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	12.85	20.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x25 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x25_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	17.85	25.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x30 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x30_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	22.85	30.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x35 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x35_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	27.85	35.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x40 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x40_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	32.85	40.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x45 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x45_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	37.85	45.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x50 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x50_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	38.0	50.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x55 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x55_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	38.0	55.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M8x60 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M8x60_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M8	8.0	1.25	38.0	60.0	2.5	38.0	15.8	4.65	2.0	3.2	9.6	5.25	2.0	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x12 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x12_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	4.0	12.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x14 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x14_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	6.0	14.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x16 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x16_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	8.0	16.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x20 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x20_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	12.0	20.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x25 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x25_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	17.0	25.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x30 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x30_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	22.0	30.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x35 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x35_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	27.0	35.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x40 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x40_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	32.0	40.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x45 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x45_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	37.0	45.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x50 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x50_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	38.0	50.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x55 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x55_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	38.0	55.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M10x60 STEEL GR A CROSS REC RAISED CSK HEAD TYPE H	JIS_B_1111_M10x60_STEEL_GR_A_TYPE_H_CROSS_REC_RAISED_CSK_HEAD_SCREW	M10	10.0	1.5	38.0	60.0	3.0	38.0	18.3	5.0	2.5	3.8	10.4	6.0	2.3	1.27	4.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x3 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M1.6x3_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M1.6	1.6	0.35	1.3	3.0	0.7	25.0	3.0	1.0	0.4	0.9	1.9	1.2	0.4	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x4 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M1.6x4_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M1.6	1.6	0.35	2.3	4.0	0.7	25.0	3.0	1.0	0.4	0.9	1.9	1.2	0.4	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x5 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M1.6x5_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M1.6	1.6	0.35	3.3	5.0	0.7	25.0	3.0	1.0	0.4	0.9	1.9	1.2	0.4	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x6 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M1.6x6_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M1.6	1.6	0.35	4.3	6.0	0.7	25.0	3.0	1.0	0.4	0.9	1.9	1.2	0.4	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x8 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M1.6x8_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M1.6	1.6	0.35	6.3	8.0	0.7	25.0	3.0	1.0	0.4	0.9	1.9	1.2	0.4	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x10 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M1.6x10_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M1.6	1.6	0.35	8.3	10.0	0.7	25.0	3.0	1.0	0.4	0.9	1.9	1.2	0.4	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x12 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M1.6x12_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M1.6	1.6	0.35	10.3	12.0	0.7	25.0	3.0	1.0	0.4	0.9	1.9	1.2	0.4	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x14 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M1.6x14_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M1.6	1.6	0.35	12.3	14.0	0.7	25.0	3.0	1.0	0.4	0.9	1.9	1.2	0.4	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x16 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M1.6x16_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M1.6	1.6	0.35	14.3	16.0	0.7	25.0	3.0	1.0	0.4	0.9	1.9	1.2	0.4	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x30 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M1.6x30_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M1.6	1.6	0.35	28.3	30.0	0.7	25.0	3.0	1.0	0.4	0.9	1.9	1.2	0.4	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x3 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2x3_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2	2.0	0.4	1.0	3.0	0.8	25.0	3.8	1.2	0.5	1.0	2.2	1.4	0.5	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x4 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2x4_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2	2.0	0.4	2.0	4.0	0.8	25.0	3.8	1.2	0.5	1.0	2.2	1.4	0.5	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x5 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2x5_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2	2.0	0.4	3.0	5.0	0.8	25.0	3.8	1.2	0.5	1.0	2.2	1.4	0.5	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x6 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2x6_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2	2.0	0.4	4.0	6.0	0.8	25.0	3.8	1.2	0.5	1.0	2.2	1.4	0.5	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x8 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2x8_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2	2.0	0.4	6.0	8.0	0.8	25.0	3.8	1.2	0.5	1.0	2.2	1.4	0.5	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x10 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2x10_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2	2.0	0.4	8.0	10.0	0.8	25.0	3.8	1.2	0.5	1.0	2.2	1.4	0.5	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x12 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2x12_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2	2.0	0.4	10.0	12.0	0.8	25.0	3.8	1.2	0.5	1.0	2.2	1.4	0.5	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x14 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2x14_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2	2.0	0.4	12.0	14.0	0.8	25.0	3.8	1.2	0.5	1.0	2.2	1.4	0.5	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x16 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2x16_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2	2.0	0.4	14.0	16.0	0.8	25.0	3.8	1.2	0.5	1.0	2.2	1.4	0.5	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x20 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2x20_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2	2.0	0.4	18.0	20.0	0.8	25.0	3.8	1.2	0.5	1.0	2.2	1.4	0.5	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x30 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2x30_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2	2.0	0.4	28.0	30.0	0.8	25.0	3.8	1.2	0.5	1.0	2.2	1.4	0.5	0.31	0.0	Z	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2.5x3 STEEL GR A CROSS REC RAISED CSK HEAD TYPE Z	JIS_B_1111_M2.5x3_STEEL_GR_A_TYPE_Z_CROSS_REC_RAISED_CSK_HEAD_SCREW	M2.5	2.5	0.45	0.6	3.0	0.9	25.0	4.7	1.5	0.6	1.1	2.8	1.75	0.6	0.51	1.0	Z	A	St	JIS B 1111	1996
