PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	c_max(mm)	c_min(mm)	da_max(mm)	ds_max(mm)	dw_min(mm)	e_min(mm)	lf_max(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	Grade	Material	Reference	Edition
ISO 4014 BOLT M24x100 STEEL GRADE A HEXAGON HEAD	ISO_4014_M24x100_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M24	24.0	3.0	54.0	100.0	0.8	0.2	26.4	24.0	33.61	39.98	4.0	15.215	10.35	0.8	36.0	31.0	46.0	A	St	ISO 4014	1999
ISO 4014 BOLT M24x110 STEEL GRADE A HEXAGON HEAD	ISO_4014_M24x110_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M24	24.0	3.0	54.0	110.0	0.8	0.2	26.4	24.0	33.61	39.98	4.0	15.215	10.35	0.8	36.0	41.0	56.0	A	St	ISO 4014	1999
ISO 4014 BOLT M24x120 STEEL GRADE A HEXAGON HEAD	ISO_4014_M24x120_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M24	24.0	3.0	54.0	120.0	0.8	0.2	26.4	24.0	33.61	39.98	4.0	15.215	10.35	0.8	36.0	51.0	66.0	A	St	ISO 4014	1999
ISO 4014 BOLT M24x130 STEEL GRADE A HEXAGON HEAD	ISO_4014_M24x130_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M24	24.0	3.0	60.0	130.0	0.8	0.2	26.4	24.0	33.61	39.98	4.0	15.215	10.35	0.8	36.0	55.0	70.0	A	St	ISO 4014	1999
ISO 4014 BOLT M24x140 STEEL GRADE A HEXAGON HEAD	ISO_4014_M24x140_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M24	24.0	3.0	60.0	140.0	0.8	0.2	26.4	24.0	33.61	39.98	4.0	15.215	10.35	0.8	36.0	65.0	80.0	A	St	ISO 4014	1999
ISO 4014 BOLT M24x150 STEEL GRADE A HEXAGON HEAD	ISO_4014_M24x150_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M24	24.0	3.0	60.0	150.0	0.8	0.2	26.4	24.0	33.61	39.98	4.0	15.215	10.35	0.8	36.0	75.0	90.0	A	St	ISO 4014	1999
ISO 4014 BOLT M24x160 STEEL GRADE B HEXAGON HEAD	ISO_4014_M24x160_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M24	24.0	3.0	60.0	160.0	0.8	0.2	26.4	24.0	33.25	39.55	4.0	15.35	10.26	0.8	36.0	85.0	100.0	B	St	ISO 4014	1999
ISO 4014 BOLT M24x180 STEEL GRADE B HEXAGON HEAD	ISO_4014_M24x180_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M24	24.0	3.0	60.0	180.0	0.8	0.2	26.4	24.0	33.25	39.55	4.0	15.35	10.26	0.8	36.0	105.0	120.0	B	St	ISO 4014	1999
ISO 4014 BOLT M24x200 STEEL GRADE B HEXAGON HEAD	ISO_4014_M24x200_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M24	24.0	3.0	60.0	200.0	0.8	0.2	26.4	24.0	33.25	39.55	4.0	15.35	10.26	0.8	36.0	125.0	140.0	B	St	ISO 4014	1999
ISO 4014 BOLT M24x220 STEEL GRADE B HEXAGON HEAD	ISO_4014_M24x220_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M24	24.0	3.0	73.0	220.0	0.8	0.2	26.4	24.0	33.25	39.55	4.0	15.35	10.26	0.8	36.0	132.0	147.0	B	St	ISO 4014	1999
ISO 4014 BOLT M24x240 STEEL GRADE B HEXAGON HEAD	ISO_4014_M24x240_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M24	24.0	3.0	73.0	240.0	0.8	0.2	26.4	24.0	33.25	39.55	4.0	15.35	10.26	0.8	36.0	152.0	167.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x110 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x110_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	66.0	110.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	26.5	44.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x120 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x120_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	66.0	120.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	36.5	54.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x130 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x130_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	72.0	130.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	40.5	58.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x140 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x140_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	72.0	140.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	50.5	68.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x150 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x150_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	72.0	150.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	60.5	78.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x160 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x160_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	72.0	160.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	70.5	88.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x180 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x180_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	72.0	180.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	90.5	108.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x200 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x200_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	72.0	200.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	110.5	128.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x220 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x220_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	85.0	220.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	117.5	135.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x240 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x240_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	85.0	240.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	137.5	155.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x260 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x260_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	85.0	260.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	157.5	175.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x280 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x280_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	85.0	280.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	177.5	195.0	B	St	ISO 4014	1999
ISO 4014 BOLT M30x300 STEEL GRADE B HEXAGON HEAD	ISO_4014_M30x300_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M30	30.0	3.5	85.0	300.0	0.8	0.2	33.4	30.0	42.75	50.85	6.0	19.12	12.8	1.0	46.0	197.5	215.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x140 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x140_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	84.0	140.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	36.0	56.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x150 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x150_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	84.0	150.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	46.0	66.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x160 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x160_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	84.0	160.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	56.0	76.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x180 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x180_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	84.0	180.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	76.0	96.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x200 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x200_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	84.0	200.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	96.0	116.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x220 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x220_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	97.0	220.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	103.0	123.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x240 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x240_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	97.0	240.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	123.0	143.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x260 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x260_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	97.0	260.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	143.0	163.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x280 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x280_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	97.0	280.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	163.0	183.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x300 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x300_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	97.0	300.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	183.0	203.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x320 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x320_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	97.0	320.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	203.0	223.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x340 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x340_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	97.0	340.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	223.0	243.0	B	St	ISO 4014	1999
ISO 4014 BOLT M36x360 STEEL GRADE B HEXAGON HEAD	ISO_4014_M36x360_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M36	36.0	4.0	97.0	360.0	0.8	0.2	39.4	36.0	51.11	60.79	6.0	22.92	15.46	1.0	55.0	243.0	263.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x160 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x160_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	96.0	160.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	41.5	64.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x180 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x180_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	96.0	180.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	61.5	84.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x200 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x200_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	96.0	200.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	81.5	104.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x220 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x220_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	220.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	88.5	111.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x240 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x240_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	240.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	108.5	131.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x260 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x260_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	260.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	128.5	151.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x280 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x280_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	280.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	148.5	171.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x300 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x300_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	300.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	168.5	191.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x320 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x320_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	320.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	188.5	211.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x340 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x340_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	340.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	208.5	231.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x360 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x360_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	360.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	228.5	251.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x380 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x380_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	380.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	248.5	271.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x400 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x400_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	400.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	268.5	291.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x420 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x420_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	420.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	288.5	311.0	B	St	ISO 4014	1999
ISO 4014 BOLT M42x440 STEEL GRADE B HEXAGON HEAD	ISO_4014_M42x440_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M42	42.0	4.5	109.0	440.0	1.0	0.3	45.6	42.0	59.95	71.3	8.0	26.42	17.91	1.2	65.0	308.5	331.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x180 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x180_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	108.0	180.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	47.0	72.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x200 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x200_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	108.0	200.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	67.0	92.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x220 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x220_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	220.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	74.0	99.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x240 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x240_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	240.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	94.0	119.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x260 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x260_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	260.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	114.0	139.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x280 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x280_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	280.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	134.0	159.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x300 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x300_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	300.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	154.0	179.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x320 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x320_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	320.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	174.0	199.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x340 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x340_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	340.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	194.0	219.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x360 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x360_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	360.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	214.0	239.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x380 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x380_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	380.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	234.0	259.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x400 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x400_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	400.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	254.0	279.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x420 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x420_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	420.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	274.0	299.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x440 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x440_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	440.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	294.0	319.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x460 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x460_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	460.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	314.0	339.0	B	St	ISO 4014	1999
ISO 4014 BOLT M48x480 STEEL GRADE B HEXAGON HEAD	ISO_4014_M48x480_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M48	48.0	5.0	121.0	480.0	1.0	0.3	52.6	48.0	69.45	82.6	10.0	30.42	20.71	1.6	75.0	334.0	359.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x220 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x220_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	220.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	55.5	83.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x240 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x240_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	240.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	75.5	103.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x260 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x260_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	260.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	95.5	123.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x280 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x280_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	280.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	115.5	143.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x300 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x300_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	300.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	135.5	163.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x320 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x320_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	320.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	155.5	183.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x340 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x340_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	340.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	175.5	203.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x360 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x360_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	360.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	195.5	223.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x380 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x380_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	380.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	215.5	243.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x400 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x400_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	400.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	235.5	263.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x420 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x420_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	420.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	255.5	283.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x440 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x440_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	440.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	275.5	303.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x460 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x460_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	460.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	295.5	323.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x480 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x480_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	480.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	315.5	343.0	B	St	ISO 4014	1999
ISO 4014 BOLT M56x500 STEEL GRADE B HEXAGON HEAD	ISO_4014_M56x500_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M56	56.0	5.5	137.0	500.0	1.0	0.3	63.0	56.0	78.66	93.56	12.0	35.5	24.15	2.0	85.0	335.5	363.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x260 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x260_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	260.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	77.0	107.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x280 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x280_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	280.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	97.0	127.0	B	St	ISO 4014	1999
