PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_len_nom(mm)	ds_dia_min(mm)	s_hex_af(mm)	e_hex_ac(mm)	dc_dia_flg(mm)	k_hd_hgt(mm)	k1_hex_hgt(mm)	c_flg_thk(mm)	lu_head(mm)	r_u_head(mm)	Material	Reference	Edition
ASME B18.6.7M SCREW M8x65 STEEL MC HEX FLANGE	ASME_B18_6_7M_M8x65_STEEL_HEX_FLANGE_MC_SCREW	M8	8.0	1.25	38.0	65.0	7.04	10.0	10.89	16.8	8.6	5.6	1.2	27.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M8x70 STEEL MC HEX FLANGE	ASME_B18_6_7M_M8x70_STEEL_HEX_FLANGE_MC_SCREW	M8	8.0	1.25	38.0	70.0	7.04	10.0	10.89	16.8	8.6	5.6	1.2	32.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M8x80 STEEL MC HEX FLANGE	ASME_B18_6_7M_M8x80_STEEL_HEX_FLANGE_MC_SCREW	M8	8.0	1.25	38.0	80.0	7.04	10.0	10.89	16.8	8.6	5.6	1.2	42.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x13 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x13_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	11.5	13.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	1.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x16 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x16_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	14.5	16.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	1.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x20 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x20_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	18.5	20.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	1.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x25 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x25_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	23.5	25.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	1.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x30 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x30_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	28.5	30.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	1.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x35 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x35_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	32.0	35.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	3.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x40 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x40_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	37.0	40.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	3.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x45 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x45_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	42.0	45.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	3.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x50 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x50_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	47.0	50.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	3.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x55 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x55_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	38.0	55.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	17.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x60 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x60_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	38.0	60.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	22.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x65 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x65_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	38.0	65.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	27.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x70 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x70_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	38.0	70.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	32.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x80 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x80_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	38.0	80.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	42.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M10x90 STEEL MC HEX FLANGE	ASME_B18_6_7M_M10x90_STEEL_HEX_FLANGE_MC_SCREW	M10	10.0	1.5	38.0	90.0	8.86	13.0	14.16	21.0	10.7	7.0	1.4	52.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x16 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x16_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	14.2	16.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	1.8	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x20 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x20_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	18.2	20.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	1.8	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x25 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x25_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	23.2	25.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	1.8	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x30 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x30_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	28.2	30.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	1.8	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x35 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x35_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	33.2	35.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	1.8	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x40 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x40_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	36.5	40.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	3.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x45 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x45_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	41.5	45.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	3.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x50 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x50_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	46.5	50.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	3.5	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x55 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x55_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	38.0	55.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	17.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x60 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x60_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	38.0	60.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	22.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x65 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x65_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	38.0	65.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	27.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x70 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x70_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	38.0	70.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	32.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x80 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x80_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	38.0	80.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	42.0	0.4	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M12x90 STEEL MC HEX FLANGE	ASME_B18_6_7M_M12x90_STEEL_HEX_FLANGE_MC_SCREW	M12	12.0	1.75	38.0	90.0	10.68	15.0	16.38	24.8	13.7	8.4	1.8	52.0	0.4	St	ASME 18.6.7M	1999
